date,amount,category,description,notes
2026-04-01,28.00,Food,Canteen lunch,
2026-04-01,15.50,Food,Bubble tea,
2026-04-01,12.00,Food,Convenience store snacks,
2026-04-02,45.00,Food,Canteen lunch and dinner,
2026-04-02,8.00,Food,Coffee,
2026-04-03,32.00,Food,Fast food lunch,
2026-04-03,22.00,Food,Supermarket groceries,
2026-04-04,18.00,Food,Canteen lunch,
2026-04-04,35.00,Food,Hot pot dinner with friends,
2026-04-04,10.00,Food,Snacks,
2026-04-05,50.00,Food,Brunch and dinner,
2026-04-06,14.00,Food,Canteen lunch,
2026-04-07,60.00,Food,Restaurant dinner birthday,
2026-04-07,20.00,Food,Cake and drinks,
2026-04-08,28.00,Food,Canteen lunch,
2026-04-08,9.50,Food,Vending machine,
2026-04-09,38.00,Food,Takeaway dinner,
2026-04-09,15.00,Food,Afternoon snack,
2026-04-10,42.00,Food,Canteen lunch and extras,
2026-04-11,55.00,Food,Weekend dim sum,
2026-04-12,30.00,Food,Fast food,
2026-04-13,25.00,Food,Canteen lunch,
2026-04-13,18.00,Food,Bubble tea x2,
2026-04-14,47.00,Food,Canteen lunch and dinner,
